Name	Locus_tag	StartV3	EndV3	StartV2	EndV2	Strand	Keeptot	Keeptrim	Id260210	OrigId	classif	S1_1_hyb28384002	S1_2_hyb28358602	S1_3_hyb29569102	S2_1_hyb28345202_01	S2_2_hyb28438702_01	S2_3_hyb29584002	S3_1_hyb28353902	S3_2_hyb28407302_01	S3_3_hyb29593702	S4_1_hyb28353602_01	S4_2_hyb29633702	S4_3_hyb29593902	S5_1_hyb28387702	S5_2_hyb29581902	S5_3_hyb29636602	S6_1_hyb28357602	S6_2_hyb29634602	S6_3_hyb29637702	nit_1_hyb32848302	nit_2_hyb32848802	nit_3_hyb32848702	ferm_1_hyb32835902	ferm_2_hyb32848502	ferm_3_hyb32875102	T.4.40H_1_hyb32876002	T.3.40H_1_hyb32860502	T.2.40H_1_hyb32875702	T.1.40H_1_hyb32874902	T.1.10H_1_hyb32875902	T.0.40H_1_hyb32860902	T0.0H_1_hyb32860102	T0.30H_1_hyb32876202	T1.0H_1_hyb34436402	T1.30H_1_hyb34528602	T2.0H_1_hyb34508402	T2.30H_1_hyb34549502	T3.0H_1_hyb34489302	T3.30H_1_hyb34489502	T4.0H_1_hyb34533902	T5.0H_1_hyb34489402	HiTm_1_hyb25345002	HiTm_2_hyb25344702	HiTm_3_hyb25347002	LoTm_1_hyb25348402	LoTm_2_hyb25348102	LoTm_3_hyb25348002	HiOs_1_hyb25346802	HiOs_2_hyb25344902	HiOs_3_hyb25347502	Heat_1_hyb25340602	Heat_2_hyb25344602	Heat_3_hyb25341002	Cold_1_hyb25347802	Cold_2_hyb25344502	Cold_3_hyb25340802	Etha_1_hyb25348602	Etha_2_hyb25340502	Etha_3_hyb25340702	Salt_1_hyb25345102	Salt_2_hyb25344802	Salt_3_hyb25347202	M40t45_1_hyb25414802	M40t45_2_hyb28390602	M40t45_3_hyb28463502	M40t90_1_hyb27061602	M40t90_2_hyb28384202_01	M40t90_3_hyb28384802_01	dia5_1_hyb25337802	dia5_2_hyb25340002	dia5_3_hyb25348502	dia15_1_hyb25321902	dia15_2_hyb25339602	dia15_3_hyb25339402	Diami_1_hyb27744802	Diami_2_hyb32848002	Diami_3_hyb27744702	Paraq_1_hyb29583002	Paraq_2_hyb32848102	H2O2_1_hyb32848202	H2O2_2_hyb32844902	H2O2_3_hyb27746602
mtlD	BSU03990	451618	452739	451177	452294	1	TRUE	TRUE	-	-	-	-5.5221	-3.4036	-3.5043	-5.508	-3.544	-3.719	-5.4712	-2.6331	-3.2289	-4.4648	-3.2548	-3.652	-5.0479	-2.9402	-3.0916	-5.3476	-4.2994	-3.4012	-0.2444	0.884	-0.1301	0.2983	1.1663	0.5541	0.1132	0.1498	0.0397	0.2506	0.5487	-0.1849	0.907	3.3863	2.1182	1.6475	0.9826	1.3863	0.4072	0.3852	0.0037	-0.8399	1.3505	1.264	0.517	-1.8383	-2.1116	-2.2783	0.0507	-0.3343	-0.1246	1.0735	0.9774	1.1059	-1.0785	-1.0325	-0.8037	-0.8766	-0.568	-0.5232	-1.6333	-2.0852	-1.692	-0.482	2.2012	0.2921	0.5429	0.0628	0.699	6.5383	5.737	4.3746	3.1545	1.0845	-0.705	0.0922	0.2007	0.443	-0.123	-0.0688	-0.3237	-0.036	-0.1708
ycsA	BSU04000	452830	453894	452385	453449	1	TRUE	TRUE	-	-	-	-0.9223	-0.8466	-0.6316	-1.4172	-1.1155	-1.2624	-2.1158	-1.8447	-2.5543	-1.8772	-2.0883	-2.3615	-1.7524	-1.3056	-1.3989	0.113	-0.8973	0.1744	-0.7549	0.3542	-1.4564	-1.025	-0.0553	-0.9225	-0.0468	0.136	0.0654	-0.174	-0.1977	-0.2372	0.2026	-0.1781	-0.025	-0.5997	-0.6182	0.0395	-0.6183	-0.357	-0.7606	-1.2124	-0.1791	0.1028	-0.6733	-1.2014	-1.9095	-2.0661	-0.0045	-0.3393	-0.2629	1.0196	1.2364	0.5639	-0.739	-0.7359	-1.1844	-0.7219	-0.6709	-0.6464	-1.1339	-1.3978	-1.2853	-0.0361	-0.3854	0.2031	0.847	0.4383	1.1492	0.9814	0.2264	0.1729	0.4145	-0.2937	-0.6717	0.2211	0.2979	-0.0583	-0.0346	0.3184	-0.2528	-0.0621	-1.0022
sipU	BSU04010	454029	454592	453584	454147	1	TRUE	TRUE	-	-	-	0.619	0.3725	0.5902	-0.2684	-1.0036	-1.3903	-0.6395	-0.5708	-2.6671	-0.4128	-1.636	-1.8236	-1.3912	-1.3886	-1.0679	-3.24	-3.8856	-3.0158	-1.8121	0.2571	-0.8734	-1.5943	-0.1617	-0.8413	-0.2401	-0.0358	-0.2664	-0.4131	-0.3811	-0.6462	-0.7916	-1.588	-1.5388	-1.6584	-1.8221	-1.0759	-1.6005	-1.7612	-1.7398	-2.1784	-1.4159	0.0128	-0.1662	-0.6826	-0.679	-0.6918	-0.9356	-0.9268	-1.0318	0.2214	0.1249	0.1728	-1.3972	-1.5168	-1.4939	-2.7898	-2.3629	-2.2451	-2.0946	-2.3481	-2.0521	-0.316	-1.4375	0.1462	0.0063	-0.1692	0.6664	-0.1632	-0.6675	-0.5422	-0.1189	-0.6582	-0.4801	-1.4558	-0.6835	-1.0682	-0.0047	0.6513	-0.2881	0.0584	-1.0404
S133	new_454593_455317	454593	455317	454148	454871	1	TRUE	TRUE	Id260210_196	O_195	inter	0.4233	0.258	0.3215	-0.452	-1.1176	-1.3402	-0.6179	-0.8572	-2.0392	-0.6628	-1.4987	-1.8293	-1.151	-1.438	-0.8398	-1.9961	-2.3257	-1.9384	-1.9476	-0.0409	-0.8398	-2.3642	-0.6878	-0.7567	0.353	0.117	-0.014	0.0631	0.2418	-0.2324	-0.4206	-1.455	-1.3398	-1.5532	-1.2537	-1.1165	-1.598	-1.3787	-1.6188	-1.6936	-0.5895	0.2319	-0.4023	-0.5195	-0.4758	-0.9299	-1.0219	-0.1498	-0.8457	0.5573	0.2535	-0.0733	-0.5413	-0.6788	-0.9185	-1.3631	-1.328	-1.637	-1.2918	-1.4316	-1.5811	-0.1829	-1.788	0.3979	0.0174	-0.2496	0.6585	-0.649	-0.9478	-0.6111	-0.2001	-0.619	-0.6616	-1.0104	-0.7371	-1.9865	0.4835	0.9999	-0.3362	0.2107	-1.6286
yczH	BSU04020	454652	455260	454207	454814	-1	TRUE	TRUE	-	-	-	1.2734	1.4252	1.0718	0.8619	0.7532	0.4028	0.5822	0.8473	-0.4555	0.7389	0.6164	-0.0492	0.7563	0.8692	0.9051	0.5347	-0.7589	0.3414	-0.1618	0.7409	-0.1702	-0.4012	0.1144	-0.187	-0.2111	-0.1238	-0.647	-0.5781	-0.7674	-0.6116	-0.833	-1.3196	-1.8358	-1.7128	-1.5049	-0.6858	-0.9189	-0.8053	-0.6716	-1.2703	-1.2548	-0.6547	-0.3447	1.7102	1.2962	1.3552	0.1983	-0.2665	0.0719	-0.1611	-0.3211	-0.2316	0.3307	-0.1477	-0.5756	-0.3286	-0.8333	-0.2364	-0.0234	-0.1135	0.2007	-0.5323	1.1898	0.1776	0.7627	-0.0312	0.4328	0.72	0.5361	0.4355	0.2365	0.4528	0.35	0.6064	0.3065	-0.3163	0.3197	0.5086	-0.0013	0.635	-0.0623
ycsD	BSU04030	455346	455738	454900	455292	1	TRUE	TRUE	-	-	-	1.4049	1.6256	1.4048	0.6319	0.8468	0.83	0.9942	1.2235	-0.764	0.7589	0.6722	0.384	0.6004	1.1353	1.1882	-0.1612	-2.0202	0.0882	-0.927	1.1804	-0.3852	-1.4464	0.2275	-0.1484	0.1086	0.029	-0.2953	-0.3914	-0.1915	-0.523	-0.7276	-1.0711	-1.2598	-1.2321	-1.3347	-0.4712	-0.5912	-0.5752	-0.3187	-0.8613	-0.9896	-0.1273	0.0106	0.7636	0.1305	0.3612	0.5372	0.8132	0.5059	-0.3145	-0.2042	-0.3855	-0.5218	-0.8611	-1.0425	-1.863	-1.6999	-1.3515	-1.1838	-1.6605	-1.5286	-1.012	-0.1993	0.2836	0.2301	-0.3228	0.1764	-0.2944	-0.4459	-0.2502	-0.4432	-0.3598	-0.2599	0.1921	-0.4822	-0.8534	0.6013	0.6481	-0.1394	-0.0309	-0.9283
yczO	BSU04039	455771	455935	455325	455489	-1	TRUE	TRUE	-	-	-	-2.039	-2.1899	-2.6906	-1.3315	-1.8362	-1.9993	-1.6388	-2.1145	-1.605	-1.1426	-1.0532	-1.8708	-1.2764	-0.7572	-1.4464	-1.3881	-0.1459	-1.4486	0.2764	0.0575	-0.4198	0.4682	0.0897	0.0241	-0.0168	-0.2381	-0.293	-0.0122	0.1444	0.3626	-0.0394	3.764	2.8302	1.8862	1.6077	1.4863	0.9161	1.0266	0.447	0.285	5.6264	1.2093	1.1546	2.7754	4.6782	2.3367	1.7019	1.3316	0.921	4.2082	4.1463	2.2398	-0.1586	-0.7329	-2.2731	6.3354	5.4509	4.7314	5.4899	5.4452	4.8785	0.1894	0.1048	0.0095	0.2443	0.366	0.3136	1.2222	0.7421	0.3449	1.0113	1.3542	0.2435	0.9604	1.2217	1.3356	0.0894	-0.1691	-0.4394	0.5916	0.8143
ycsE	BSU04040	456068	456817	455622	456371	1	TRUE	TRUE	-	-	-	1.0043	0.9493	1.0111	0.2707	0.3255	0.1508	0.6253	0.7799	0.597	1.0806	0.8444	0.5605	0.5816	0.7243	0.6736	-0.2435	-2.4828	-0.2579	-1.0623	0.1917	-0.9968	-1.1844	-0.3168	-0.7928	-0.2108	-0.2359	-0.3984	-0.5499	-0.3543	-0.5092	-0.5927	-1.9323	-1.9158	-2.122	-2.0627	-1.3462	-1.69	-1.4157	-1.4402	-1.9822	-0.3064	0.0751	0.0737	0.2179	-0.1058	-0.0701	0.56	0.1723	0.2327	0.5542	0.5945	-0.2262	-0.8472	-1.2934	-2.1055	0.8655	0.2277	0.6213	0.2948	0.246	0.2175	-0.2734	0.5841	0.2928	0.4602	0.1711	0.6553	1.0685	0.9729	0.5761	1.7547	1.1998	0.5792	1.2102	1.3307	0.4867	0.5294	0.7933	0.7863	0.9845	0.2607
S134	new_456926_457022	456926	457022	456479	456575	1	TRUE	TRUE	Id260210_197	O_196	5'	1.0485	1.0275	1.4654	-2.2482	-1.9655	-3.4993	-3.6227	-2.5202	-4.0549	-2.7307	-2.6426	-3.1756	-2.7015	-2.027	-1.9845	-2.7051	-4.49	-2.5385	-1.6586	-0.6978	-1.2872	-1.2955	-0.9305	-0.8102	-0.3261	-0.4613	-0.7204	-0.8251	-1.1462	-1.0438	-1.2375	-2.3483	-3.7926	-3.8297	-3.734	-3.9445	-4.0176	-3.5922	-3.7361	-3.2981	-0.7262	0.4764	0.3562	-0.9075	-0.9863	-0.9433	1.3994	0.5795	0.7128	-0.0937	0.0016	-0.4259	1.4329	0.8684	0.4354	-1.6307	-1.2021	-0.9275	-0.5281	-0.9383	-0.6052	-0.3495	0.7928	-0.0566	0.3171	0.2919	0.4745	0.2362	-0.9129	-1.2586	-0.7614	-1.2347	-0.6197	-1.3651	-1.172	-2.1147	-0.8042	0.2576	-0.6688	0.2754	-1.3712
ycsF	BSU04050	457023	457796	456576	457349	1	TRUE	TRUE	-	-	-	0.9608	1.7163	1.8163	-2.6074	-1.9368	-2.8461	-3.353	-2.3669	-3.0416	-2.5628	-1.9492	-2.4404	-2.045	-1.1511	-1.0034	-2.7555	-3.8335	-1.9845	-1.6425	-0.7963	-1.5066	-1.7488	-1.2029	-0.9275	-0.4509	-0.5358	-0.8987	-0.9198	-1.0709	-0.7438	-1.2935	-2.0645	-3.1578	-3.2371	-3.3563	-3.3612	-3.6469	-3.166	-3.1695	-2.9037	-0.2993	0.3446	0.3039	-0.6331	-1.1501	-0.8996	0.9759	0.5954	0.7776	0.0206	0.2111	-0.0805	1.447	1.2034	0.4195	-1.7483	-1.5965	-0.9887	-0.5542	-0.725	-0.6386	-0.1188	0.926	0.0483	0.381	0.4013	0.4088	0.6699	-0.6461	-1.2331	-0.4252	-0.9554	-0.3852	-1.1184	-1.1295	-1.4591	-0.6322	-0.2124	-0.6466	-0.3151	-0.7549
ycsG	BSU04060	457811	459025	457364	458578	1	TRUE	TRUE	-	-	-	2.4747	2.5162	3.2902	-1.2207	-0.6001	-1.0692	-2.0631	-1.5007	-1.479	-1.186	-1.3848	-1.1716	-0.8177	-0.6058	0.1024	-1.7038	-3.1774	-0.9963	-1.736	-1.0409	-1.5962	-1.6052	-1.4678	-0.9611	-0.2905	-0.4351	-0.6014	-0.6923	-0.8926	-0.7787	-1.055	-1.9492	-2.6137	-3.0018	-2.9639	-3.0386	-3.3847	-3.0219	-3.2466	-3.0646	0.5834	0.8506	0.5217	-1.1739	-1.8783	-1.9048	1.0711	0.8134	0.7186	0.1064	-0.0019	-0.0732	1.9525	1.2323	0.5704	-2.5582	-2.3229	-1.827	-0.6136	-0.7478	-0.5449	0.2182	1.1373	0.0432	0.5359	0.1872	0.1859	0.519	-0.5785	-1.3717	-0.8516	-1.3283	-1.0596	-0.9161	-0.95	-1.382	-0.5097	-0.0002	-0.2509	-0.0522	-0.7878
ycsI	BSU04070	459049	459822	458602	459375	1	TRUE	TRUE	-	-	-	3.0306	2.7546	2.8255	-0.3676	-0.3758	-1.1875	-1.1793	-1.4303	-1.7151	-0.6576	-0.8881	-1.573	-0.4583	-0.2796	-0.3631	-0.8786	-2.9745	-1.2105	-1.7094	-1.0855	-1.7782	-1.6806	-1.2942	-1.0863	-0.2565	-0.476	-0.5998	-0.8491	-0.8725	-0.8738	-1.0509	-1.7246	-2.3479	-2.6386	-2.959	-2.8691	-3.3251	-3.0633	-3.114	-3.1396	1.0683	1.0467	0.8584	-1.1983	-1.7633	-1.7276	1.2589	0.8464	0.969	0.1989	0.5374	0.1511	2.2404	1.8702	1.1795	-2.8685	-2.6268	-2.1011	-0.5921	-0.7383	-0.5387	0.0077	1.2627	0.0108	0.4831	0.3567	0.296	0.5814	-0.6185	-1.5694	-0.8331	-1.2015	-1.9093	-1.2405	-1.2133	-1.6159	-0.5804	-0.2612	-0.8991	-0.2571	-0.9617
kipI	BSU04080	459867	460589	459419	460141	1	TRUE	TRUE	-	-	-	2.9017	2.4102	2.6927	-0.4324	-0.5555	-1.3093	-1.3808	-1.4988	-1.9201	-0.6071	-1.0832	-1.7081	-0.5634	-0.6442	-0.5867	-0.9875	-3.0859	-1.6067	-1.4726	-0.9366	-1.7516	-1.4667	-1.2036	-1.0161	-0.2092	-0.4377	-0.5543	-0.7313	-0.7409	-0.6745	-0.8773	-1.6389	-2.3077	-2.5675	-2.7607	-2.7357	-3.077	-2.9462	-2.9916	-2.9203	1.0203	1.1288	0.6063	-1.3664	-1.7656	-1.9618	1.2555	0.8717	0.6059	0.12	0.4534	0.1369	2.3371	2.1476	1.576	-2.9902	-2.628	-2.2108	-0.6986	-0.7899	-0.5432	-0.1056	1.0068	0.0852	0.4672	0.2975	0.3875	0.6401	-0.5396	-1.5487	-0.4376	-1.1239	-1.884	-1.108	-0.8174	-1.2822	-0.537	0.1027	-0.7759	-0.1224	-0.9631
kipA	BSU04090	460592	461599	460144	461157	1	TRUE	TRUE	-	-	-	2.8824	2.2562	2.8063	-0.3981	-0.6524	-1.1904	-1.3137	-1.6619	-1.683	-0.6682	-1.1841	-1.7957	-0.5544	-0.659	-0.6909	-1.057	-3.1122	-1.3999	-1.7699	-0.9075	-1.9839	-1.7361	-1.0335	-1.1358	-0.2742	-0.3766	-0.6012	-0.8482	-0.8291	-0.8605	-0.9154	-1.6566	-2.0319	-2.3062	-2.5656	-2.5011	-2.9414	-2.5989	-2.7677	-2.7487	1.0207	1.0398	0.5274	-1.0058	-1.7347	-1.7487	1.0523	0.8225	0.7725	0.3032	0.7161	0.219	2.5994	2.4862	1.9365	-2.9408	-2.5172	-2.3236	-0.7117	-0.9228	-0.7358	0.0694	0.9626	-0.0947	0.427	0.2894	0.4766	0.7077	-0.4221	-1.4533	-0.2882	-1.044	-2.0289	-0.891	-0.8124	-1.1332	-0.4845	0.0556	-0.5214	-0.1877	-0.763
kipR	BSU04100	461615	462367	461173	461924	1	TRUE	TRUE	-	-	-	2.7088	2.7255	2.868	-0.7097	-0.5008	-1.1609	-1.5636	-1.4473	-1.9263	-1.0879	-1.1591	-1.8702	-1.0686	-0.9931	-0.9106	-1.4596	-2.9987	-1.8762	-1.8866	-1.0622	-1.9863	-1.6996	-1.2391	-1.1887	-0.2131	-0.2859	-0.4907	-0.8413	-0.8397	-1.0032	-0.9613	-2.1324	-2.446	-2.8675	-2.7279	-2.8486	-2.9971	-2.7799	-3.0297	-2.7078	0.9616	0.9902	0.6487	-1.1227	-1.7134	-1.5881	1.0227	0.6066	1.0614	0.2334	0.4995	0.3435	2.4796	2.0427	1.3864	-3.0839	-2.8518	-2.296	-0.7441	-1.0758	-0.9393	-0.0984	0.9802	0.092	0.4451	-0.0098	0.3964	0.4661	-0.3204	-1.0742	-0.2818	-1.1035	-1.9942	-0.9284	-0.821	-0.9675	-0.2623	0.056	-0.5431	-0.1741	-0.7214
lipC	BSU04110	462431	463072	461988	462629	1	TRUE	TRUE	-	-	-	3.0826	3.284	3.1055	-0.2499	-0.5264	-1.0735	-1.0509	-1.2064	-1.0888	-0.6105	-1.0283	-1.3414	2.1453	2.6454	2.5148	4.6053	2.3988	4.5404	-1.5993	-1.0508	-2.2134	-1.8491	-1.5634	-1.6833	-0.056	-0.1651	-0.3822	-0.6522	-0.8359	-0.8417	-0.936	-2.6802	-2.8841	-2.7563	-2.6465	-2.69	-2.9712	-2.5414	-2.7241	-2.7381	0.0534	0.595	-0.0293	-1.114	-1.6345	-1.9115	0.6721	0.372	0.2061	0.4398	0.5298	0.2229	1.9421	1.7394	1.1033	-2.9502	-2.6435	-2.7279	-0.6256	-0.5918	-0.5791	0.1645	0.5294	0.0271	0.2978	-0.0537	0.3968	0.2618	-0.481	-1.3203	0.0552	-0.5724	-1.8753	-0.847	-0.7433	-1.1439	0.0841	0.2989	0.1489	0.2567	-0.5225
S135	new_463070_463495_c	463070	463495	462627	463052	-1	TRUE	TRUE	Id260210_198	O_197	3'UTR	1.8271	2.1131	2.0348	1.4291	1.5903	1.0335	0.7271	1.4051	-0.1272	0.6305	0.6085	-0.1505	-0.0606	0.3987	0.2718	-0.0437	-1.3335	0.0781	0.2527	1.1839	0.3672	-0.2564	0.2586	-0.1177	-0.639	-1.2051	-1.3624	-0.8289	-0.8539	-1.1293	-1.3084	-0.4236	-1.6704	-1.6995	-1.5513	-1.354	-1.2525	-0.6738	-1.4407	-1.3873	-0.0876	-0.4276	0.5937	1.7846	1.8845	1.7726	1.7001	1.3758	1.7623	-0.0276	-0.4752	-0.7406	-0.4281	-0.9066	-1.12	-0.6111	-0.8274	-0.812	0.0791	-0.4105	-0.4109	-0.4465	2.4476	0.328	0.1419	0.1896	0.3518	1.8389	1.6591	1.5986	1.2637	1.3208	1.0025	0.9391	1.5234	0.9512	0.5309	0.4327	0.0177	0.1068	-0.1532
yczI	BSU04120	463245	463490	462802	463047	1	TRUE	TRUE	-	-	-	-1.6554	-1.9313	-1.6947	-1.6469	-2.1118	-1.6909	-0.6438	-1.0979	-0.4993	0.256	-0.5456	0.2012	0.4267	-0.2476	1.0558	-0.4119	-2.6142	0.0663	-0.9566	0.7451	-0.5443	-0.6076	0.0208	0.1095	0.5002	0.5372	0.3384	0.0207	0.2043	-0.1874	-0.3223	-0.8542	-0.4247	0.1862	0.3609	0.9866	0.4511	0.6414	0.5553	0.0148	-2.979	-1.0505	-1.9169	-0.6453	-1.0725	-1.2183	-3.83	-3.9394	-4.065	-0.4617	-0.6562	-0.5482	0.8094	-0.0003	-0.1551	-1.4055	-1.993	-1.4411	-3.177	-3.0746	-1.9805	-0.751	-2.7873	0.157	0.1593	-0.5784	0.1548	-2.712	-3.3186	-2.2006	-3.5236	-2.0625	-0.9772	-2.9588	-2.7926	-4.0971	0.3627	1.1731	0.234	0.3663	-1.521
S136	new_463491_463901	463491	463901	463048	463458	1	TRUE	TRUE	Id260210_200	O_199	inter	-0.3481	-0.8008	-0.8298	-0.3369	-1.1877	-0.7911	0.6779	-0.0915	0.828	1.6492	0.7197	0.9518	1.6682	1.3084	2.018	1.042	-1.1299	1.0104	-0.6636	1.1237	0.4489	-0.6891	0.414	0.932	0.5551	0.4324	-0.0134	-0.3723	-0.395	-0.3676	-0.8988	-1.4794	-0.97	-0.3883	-0.0913	0.8064	0.2904	0.6715	0.5754	0.2484	-3.4418	-1.1008	-1.5001	0.5195	0.2874	0.1446	-3.3049	-2.5288	-3.1293	0.0371	-0.2044	-0.2567	1.0834	0.3925	0.0989	-1.3496	-1.4416	-1.2388	-2.3951	-2.1755	-1.8428	-0.915	-1.8852	0.3687	0.2045	-0.1287	0.3244	-2.055	-2.443	-1.8159	-1.8913	-1.4261	-0.5753	-2.1159	-2.6569	-3.0592	0.8148	1.0868	0.8988	0.5671	-0.5991
yczJ	BSU04130	463496	463783	463053	463340	-1	TRUE	TRUE	-	-	-	1.4401	1.6195	1.8854	1.0281	1.4266	1.048	0.3002	1.3615	-0.5585	0.2615	-0.1899	-0.4212	-0.3478	-0.3138	0.1915	-0.6299	-2.0788	-0.0712	-0.2142	1.432	0.2924	-0.3493	0.441	-0.0241	-0.585	-0.8776	-1.0328	-0.7296	-0.7203	-1.1451	-0.8714	-0.8659	-1.7382	-1.87	-1.7096	-1.0691	-0.9448	-0.683	-1.0886	-1.6304	-1.2811	-0.9923	-0.4797	1.0319	1.1782	0.9611	0.8844	0.2755	0.5712	-0.8177	-1.1614	-1.1893	-0.4528	-1.2885	-1.3417	-1.3179	-1.8122	-1.258	-1.1159	-1.3286	-1.0443	-0.2911	1.7838	0.3381	0.1203	0.0696	0.4057	1.0004	0.8044	0.5548	0.1602	0.0179	0.4102	0.3878	0.9618	0.1661	0.3239	0.5026	-0.0644	-0.0265	-0.9605
pbpC	BSU04140	463934	465940	463491	465497	1	TRUE	TRUE	-	-	-	-0.6017	-1.0773	-0.9165	-1.0184	-1.5415	-1.6062	-1.3127	-1.4675	-2.1664	-1.3581	-1.8418	-2.2801	-1.5949	-1.4991	-1.5095	-2.1359	-4.4353	-2.049	-0.4991	0.6539	-0.733	-0.7956	0.3146	-0.4372	0.0913	-0.131	-0.499	-0.8347	-0.7598	-0.9148	-1.0281	-2.0187	-1.7456	-1.5785	-1.249	-0.2509	-0.4356	0.0858	0.0138	-0.5014	-0.7601	-0.6864	-1.0507	0.6238	0.1199	0.1541	-0.6995	-1.121	-1.0878	-0.4509	-0.6631	-0.9034	0.8759	0.1671	-0.3538	-2.2132	-2.3761	-1.7635	-1.829	-2.0283	-1.5665	-0.3116	-1.0067	0.0711	0.1708	0.1719	0.8807	-0.7945	-1.4153	-1.7219	-2.4638	-1.4361	-2.0335	-1.9973	-1.2511	-1.7578	0.1208	0.5586	-0.5892	-0.1212	-0.9268
S137	new_465941_466041	465941	466041	465498	465598	1	TRUE	TRUE	Id260210_201	O_200	intra	-0.5541	-0.4224	-0.4683	-0.8447	-1.103	-0.6421	-1.139	-1.0983	-2.3438	-1.0818	-1.0388	-1.9946	-1.6844	-1.2771	-1.5822	-2.0139	-2.9666	-2.1443	-0.1757	1.0738	-0.4579	-0.7123	0.5693	-0.2157	0.0872	0.0802	-0.3521	-0.7268	-0.3624	-0.716	-0.794	-1.913	-1.6538	-1.5595	-1.3139	-0.3467	-0.5769	-0.0914	-0.1782	-0.5923	-0.4122	-0.7806	-1.0609	0.3959	0.0118	-0.3823	-0.3359	-1.1879	-1.0346	-0.8468	-0.9429	-0.861	0.7835	0.0035	-0.2116	-1.4631	-2.0707	-1.6349	-1.5358	-1.382	-1.4255	-0.3344	-0.7697	-0.0207	0.4543	0.1276	0.9444	-0.5234	-1.2938	-1.743	-2.3497	-1.4551	-2.3972	-1.7768	-1.1457	-1.7266	0.2347	0.6388	-0.7828	-0.0373	-0.9574
ycsN	BSU04150	466042	466944	465599	466501	1	TRUE	TRUE	-	-	-	0.0791	0.1889	0.0726	0.2409	0.1631	0.1197	-0.4022	-0.5194	-2.1502	-1.0844	-0.7783	-1.6119	-1.3755	-1.2007	-1.1995	-1.6974	-2.8109	-1.6666	-0.07	1.2052	-0.1304	-0.4625	0.538	0.2764	0.1848	-0.0692	-0.3622	-0.5907	-0.4475	-0.6253	-0.7988	-0.9796	-1.473	-1.5024	-1.3886	-0.5062	-1.028	-0.4801	-0.5295	-0.9184	-0.6248	-0.9815	-1.2051	0.2832	-0.1662	-0.4445	-0.5257	-0.6333	-0.7196	-0.3731	-0.5749	-0.5848	1.0924	0.8122	0.2528	-0.0476	-0.3052	0.3055	-1.1541	-1.2995	-1.178	-0.2663	0.5433	0.0691	0.5511	-0.0308	0.6508	-0.2161	-1.115	-1.4344	-2.1208	-1.8119	-1.9377	-1.4956	-0.9342	-1.8942	0.4121	0.526	-0.433	0.0588	-1.1451
S138	new_467042_467129	467042	467129	466599	466686	1	TRUE	TRUE	Id260210_202	O_201	5'	-1.6328	-2.3879	-1.3261	-1.0925	-2.2531	-1.8167	-1.8995	-2.3594	-1.9053	-1.6469	-2.5756	-1.7274	-2.1362	-2.2456	-1.3212	-2.0445	-3.3813	-1.132	0.5347	2.0801	0.9509	0.3427	1.3036	1.4795	0.0447	-0.2832	-0.2654	-0.6467	-0.6484	-1.0439	0.1635	0.2606	-0.088	-0.2588	-0.3042	0.4979	0.0403	0.3607	0.3342	-0.3596	-1.3726	-0.7442	-1.0539	0.5775	0.0445	0.0227	-0.5473	-0.7556	-0.7785	0.7714	0.48	0.3044	0.7431	0.1464	-0.0832	-1.0923	-0.9964	-1.3117	-1.2582	-1.36	-1.2884	0.2583	0.2293	0.0398	0.1233	-0.3086	0.1955	2.3076	0.5453	0.2347	-0.0031	-1.5462	-2.2167	-1.2992	-0.9777	-1.4248	-0.1174	0.4996	0.6869	0.5051	-0.5881
mtlR	BSU04160	467130	469214	466687	468771	1	TRUE	TRUE	-	-	-	-1.7407	-0.967	-0.5637	-1.4131	-0.8952	-0.8019	-1.7695	-1.1934	-1.2649	-1.6744	-0.875	-1.127	-1.4694	-0.4554	-0.2503	-1.516	-1.2551	-0.6061	0.2053	1.3525	0.4269	-0.0753	1.1367	0.9877	0.0345	0.0247	-0.0719	-0.3624	-0.3421	-0.5516	0.1929	0.6527	0.113	0.2181	0.1357	0.8874	0.3612	0.7562	0.7186	0.1953	-0.0382	0.1508	-0.5166	0.5887	-0.1231	-0.1818	-0.0405	-0.3212	-0.3782	1.2171	1.1424	1.0376	0.7587	0.4571	0.2008	-0.6599	-0.3861	-0.5563	-0.9091	-0.9849	-0.9697	0.1111	0.5034	-0.0311	0.3664	-0.0555	0.3233	2.3318	0.5155	0.168	0.1619	-1.0563	-1.637	-0.6993	-0.4754	-0.6271	0.0061	0.3843	0.2129	0.4288	-0.5312
S139	new_469286_469367	469286	469367	468843	468924	1	TRUE	TRUE	Id260210_203	O_202	5'	0.0442	-0.5368	-0.7309	0.6858	-0.5323	0.0361	0.6301	-0.603	1.7453	3.3083	2.4731	2.1157	5.071	4.4118	5.2536	4.8281	1.664	4.6946	4.3841	2.5626	3.6745	4.1413	2.0655	4.6131	-0.2804	-0.9384	-0.8185	-0.8036	-1.0913	-1.3129	-1.3408	0.3779	0.266	0.6192	0.7505	0.3537	-0.0122	0.2775	0.1276	0.4896	2.3086	-0.7398	-0.53	-0.5304	0.5244	0.352	-1.0619	-0.4772	-0.4706	1.9318	1.9246	1.6937	0.508	0.6042	0.5544	5.3699	4.6084	4.834	2.3597	2.8636	2.4657	0.4067	0.4304	-0.2413	-0.039	0.4586	0.2	2.3966	0.3988	0.2913	0.1817	0.049	0.6073	-0.1607	-0.2691	0.2147	-0.1018	-0.0826	-0.5421	0.2015	0.0518
